"OPDIV","CFDA Number","CFDA Program Title","Award Number","Award Title","Action Date","Recipient Name","City","Approp Code","Award Amount","Country_code_2","Country","Type","Class"
"CDC",93.067,"Global AIDS","NU2GGH002009","Masaka Region Comprehensive HIV Program for Accelerated Epidemic Control","12/2/2020","Rakai Health Science Progrgam","KALISIZO","CV",0,"UG","Uganda","Environmental Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001957","GH16-1690: Supporting Implementation of Comprehensive HIV Prevention, Care and Treatment Programs in Bomu Hospi","12/2/2020","Eastern Deanery AIDS Relief Program","NAIROBI","CV",0,"KE","Kenya","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001632","BUILDING CAPACITY FOR A SUSTAINABLE, COUNTRY-LED RESPONSE TO THE HIV/AIDS EPIDEMIC IN GUYANA: A TECHNICAL ASSISTANCE SUPPORT MODEL TO THE GUYANA MINISTRY OF HEALTH (MOH) UNDER  PEPFAR","11/30/2020","Ministry of Health","GEORGETOWN","CV",0,"GY","Guyana","Health Department","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001981","Programmatic Implementation and Technical Assistance (TA) for HIV/AIDS and Tuberculosis (TB) Prevention, Care, andTreatment Services throughout the Health System in South Africa under PEPFAR","11/30/2020","The Aurum Institute NPC","JOHANNESBURG","CV",0,"ZA","South Africa, Union of","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002084","CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND: TECHNICAL COLLABORATION WITH THE MINISTRY OF PUBLIC HEALTH","11/30/2020","MINISTRY PUBLIC HEALTH THAILAND","NONTHABURI","CV",0,"TH","Thailand","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002290","Malaria Operations Research to Improve Malaria Control and Reduce Morbidity and Mortality in Western Kenya","11/25/2020","LIVERPOOL SCHOOL OF TROPICAL MEDICINE","LIVERPOOL, UK","CV",0,"GB","United Kingdom","Junior College, College & University","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002100","Global Action towards HIV Epidemic Control in Subnational units in Nigeria (4GATES PROJECT)","11/24/2020","CATHOLIC CARITAS FOUNDATION OF NIGERIA CCFN","ABUJA","CV",0,"NG","Nigeria","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001937","Reducing Nosocomial and Community-Acquired Tuberculosis by Strengthening the Capacity of the South African Department of Health to Improve Implementation of Infection Control and Waste Management","11/24/2020","Council for Scientific & Industrial Research","SILVERTON","CV",0,"ZA","South Africa, Union of","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"NIH",93.31,"Trans-NIH Research Support","U54HG009824","COVID-19 and Serological responses in a South African birth cohort study","11/24/2020","UNIVERSITY OF CAPE TOWN LUNG INSTITUTE","CAPE TOWN","C3",-399346,"ZA","South Africa, Union of","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002148","Provision of Comprehensive HIV Prevention, Care, Treatment, and Support Programs in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR- Afya Kamilifu","11/23/2020","AMREF Tanzania","DAR ES SALAAM","CV",0,"TZ","Tanzania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000041","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect Diagnose and Improve Public Health in Ghana","11/23/2020","Center for Health Systems Str engthening","Kumasi","CV",0,"GH","Ghana","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000008","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","11/23/2020","UNIVERSITY OF GHANA","LEGON","CV",0,"GH","Ghana","Junior College, College & University","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002034","GH16-1620:Supporting the Implementation and Expansion of High Quality, Sustainable and Comprehensive HIV Prevention, Care and Treatment Programs in Faith-Based Organization Facilities","11/23/2020","Christian Health Assciation  of Kenya","NAIROBI","CV",0,"KE","Kenya","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001957","GH16-1690: Supporting Implementation of Comprehensive HIV Prevention, Care and Treatment Programs in Bomu Hospi","11/23/2020","Eastern Deanery AIDS Relief Program","NAIROBI","CV",0,"KE","Kenya","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001979","Strengthening HIV/AIDS, STI and TB Laboratory Services in the Namibian Institute of Pathology (NIP)","11/23/2020","Namibia Institute of pathology","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002066","Accelerating Epidemic Control in Soroti region in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","11/20/2020","AIDS SUPPORT ORGANIZATION","UGANDA","CV",0,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002046","Accelerating Epidemic Control in 7 Districts of Mubende Region in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","11/19/2020","Mildmay Uganda","KAMPALA","CV",0,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
