Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,00936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$17,781,920"
COLLEGE OF THE VIRGIN ISLANDS,090003765,SAINT THOMAS,VI,00802,FREDERIKSTED,USA Related Territories,"Junior College, College & University",State Government,"$1,260,589"
COLLEGE OF THE VIRGIN ISLANDS,874304827,SAINT THOMAS,VI,00802,FREDERIKSTED,USA Related Territories,"Junior College, College & University",State Government,"$175,570"
VI DEPARTMENT OF HEALTH,043577068,SAINT CROIX,VI,00802,ST. CROIX,USA Related Territories,Health Department,State Government,"$2,308,498"
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,00802,ST. CROIX,USA Related Territories,Health Department,State Government,"$3,916,468"
VI DIVISION OF VOCATIONAL REHABILITATION,001560155,SAINT THOMAS,VI,00801,ST. CROIX,USA Related Territories,Rehabilitation Organization ( Other Than Criminal ),State Government,"$22,408,339"
VI DEPT OF JUS/PAT & CHILD SUP DIV,001560155,ST THOMAS,VI,00802,SAINT THOMAS,USA Related Territories,Law Enforcement Agency ( Including Criminal Rehabilitation ),State Government,"$23,443,768"
VI DEPT OF JUS/PAT & CHILD SUP DIV,091147678,ST THOMAS,VI,00802,SAINT THOMAS,USA Related Territories,Law Enforcement Agency ( Including Criminal Rehabilitation ),State Government,"$3,064,171"
UNIVERSITY OF LUND,350582417,LUND,Other,00000,,Sweden,"Junior College, College & University",Foreign Non-Profit Organization,$90
WORLD HEALTH ORGANIZATION,480997543,GENEVA,Other,00000,,Switzerland,Other Health Organization,International ( U.S. & Foreign OR Two/More Foreign Organizations ),$0
HEBREW UNIVERSITY,600044978,JERUSALEM,Other,00000,,Israel,"Junior College, College & University",Foreign Non-Profit Organization,"$2,770,476"
PALAU COMMUNITY ACTION AGENCY,854811700,KOROR CAROLINE ISLANDS,PW,96940,,USA Related Territories,Community Action Organization,Special Unit of Government,"$11,324,689"
SAN JUAN CITY DEPARTMENT OF FAMILY SERVICES,090362773,HATO REY,PR,00936,SAN  JUAN,USA Related Territories,Welfare Department,City Government,"$181,260,386"
YORK UNIVERSITY,208217786,"OTTAWA, ONTARIO",Other,00000,,Canada,"Junior College, College & University",Foreign Non-Profit Organization,"$1,866,353"
UNIVERSITY OF SALAMANCA,470468190,SALAMANCA,Other,00000,,Spain,"Junior College, College & University",Foreign Profit Organization,"$96,805"
Waab CHC/Yap State Dept. of Hlth Services,854812471,YAP,FM,96943,,USA Related Territories,Welfare Department,State Government,"$8,251,078"
VI ECONOMIC OPPORTUNITY OFFICE,001560155,ST THOMAS,VI,00801,SAINT THOMAS,USA Related Territories,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$56,419,840"
UNIVERSITY OF ZAMBIA,954578436,LUSAKA,Other,10101,,Zambia,"Junior College, College & University",Foreign Non-Profit Organization,"$6,159,264"
LAVAL UNIVERSITY,208704593,"QUEBEC, QUEBEC",Other,00000,,Canada,"Junior College, College & University",Foreign Non-Profit Organization,"$1,393,515"
UNIVERSITE DU QUEBEC A MONTREAL,205344091,"MONTREAL, QUEBEC",Other,00000,,Canada,"Junior College, College & University",Foreign Non-Profit Organization,"$343,490"
UNIVERSITE DU QUEBEC A MONTREAL,252114533,"MONTREAL, QUEBEC",Other,00000,,Canada,"Junior College, College & University",Foreign Non-Profit Organization,$0
PR DEPARTMENT OF PUBLIC HEALTH,105817142,SAN JUAN,PR,00936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$9,160,661"
UNIVERSITY OF BATH,424400661,BATH,Other,00000,,United Kingdom,"Junior College, College & University",Foreign Non-Profit Organization,$0
"UNIVERSITY OF PUERTO RICO, SCHOOL OF PUBLIC HEALTH",948108063,SAN JUAN,PR,00906,SAN  JUAN,USA Related Territories,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$8,959,627"
"Southern Nations, Nationalities & Peoples Regional Stat",850514612,HAWASSA,Other,,,Ethiopia,Other Health Organization,Foreign Non-Profit Organization,"$26,357,291"
NE SCIENTIFIC LLC,078850424,BURLINGTON,MA,01803,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,602,091"
MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,077470003,SALISBURY COVE,ME,04672,HANCOCK,United States of America,"Research Institution, Foundation and Laboratory",Non-Profit Private Non-Government Organizations,"$44,728,946"
COMMUNITY HEALTH & COUNSELING SERVICES,071734776,BANGOR,ME,04401,PENOBSCOT,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$399,929"
COLBY COLLEGE,071741268,WATERVILLE,ME,04901,KENNEBEC,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$22,502"
EASTERN MAINE MEDICAL CENTER,071735682,BANGOR,ME,044016616,PENOBSCOT,United States of America,Hospital,Non-Profit Private Non-Government Organizations,$0
JACKSON LABORATORY (THE),042140483,BAR HARBOR,ME,046091500,HANCOCK,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,"$397,342,199"
BATES COLLEGE,058951401,LEWISTON,ME,04240,ANDROSCOGGIN,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$777,450"
MOUNT DESERT ISLAND HOSPITAL,077468445,BAR HARBOR,ME,04609,HANCOCK,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$523,664"
UNIVERSITY OF NEW ENGLAND,071735252,BIDDEFORD,ME,040059526,YORK,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$37,872,050"
YORK HOSPITAL,077461549,YORK,ME,03909,YORK,United States of America,Hospital,City Government,"$687,556"
ST JOSEPHS COLLEGE,071750079,STANDISH,ME,040845863,CUMBERLAND,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$113,061"
BOWDOIN COLLEGE,071749923,BRUNSWICK,ME,040118445,CUMBERLAND,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$2,281,455"
MID COAST HOSPITAL,071732523,BRUNSWICK,ME,040112652,CUMBERLAND,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$1,304,155"
MaineHealth,071732663,PORTLAND,ME,041023134,CUMBERLAND,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$77,317,234"
Sebasticook Valley Hospital,077462596,PITTSFIELD,ME,04967,SOMERSET,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$635,589"
"Maine Hospital Association, Inc.",071745087,AUGUSTA,ME,043304910,KENNEBEC,United States of America,Other Health Organization,State Government,"$1,635,935"
HUSSON COLLEGE,071737159,BANGOR,ME,044012929,PENOBSCOT,United States of America,"Junior College, College & University",Non-Profit Private Non-Government Organizations,"$870,227"
THE OPPORTUNITY ALLIANCE,065270445,SOUTH PORTLAND,ME,04106,CUMBERLAND,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$21,165,774"
"WESTERN MAINE COMMUNITY ACTION, INC",093632180,WILTON,ME,04294,FRANKLIN,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$1,693,750"
AROOSTOOK MENTAL HEALTH CENTER,060996881,CARIBOU,ME,04736,AROOSTOOK,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$260,000"
KENNEBEC VALLEY COMMUNITY ACTION PROGRAM,037709490,WATERVILLE,ME,049016339,KENNEBEC,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$32,084,083"
"CATHOLIC CHARITIES, MAINE",804432805,PORTLAND,ME,041046060,CUMBERLAND,United States of America,Community Action Organization,Non-Profit Private Non-Government Organizations,"$7,248,875"
REDINGTON FAIRVIEW GENERAL HOSPITAL,071745715,SKOWHEGAN,ME,04976,SOMERSET,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$2,012,311"
